"epcc_name","epcc_code","icd_9","icd_9_additional","icd_10","icd_10_additional","sts_name","section_name","section_seq"
"Aorto-ventricular tunnel,","09.17.01","747.2",,"Q25.4",,"LV to aorta tunnel","Abnormalities of ventriculo-arterial valves and great arteries",49
"Aorto: left ventricular tunnel,","09.17.02","747.2",,"Q25.4",,"LV to aorta tunnel","Abnormalities of ventriculo-arterial valves and great arteries",50
"Aortic arch abnormality,","09.28.00","747.2",,"Q25.4",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",51
"Right aortic arch,","09.28.15","747.2",,"Q25.4",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",52
"Aortic coarctation,","09.29.01","747.1",,"Q25.1",,"Coarctation of aorta","Abnormalities of ventriculo-arterial valves and great arteries",53
"Aortic arch hypoplasia (tubular),","09.29.11","747.2",,"Q25.4",,"Aortic arch hypoplasia","Abnormalities of ventriculo-arterial valves and great arteries",54
"Interrupted aortic arch,","09.29.31","747.1",,"Q25.4",,"Interrupted aortic arch","Abnormalities of ventriculo-arterial valves and great arteries",55
"Aortic arch branch abnormality,","09.30.00","747.6",,"Q27.8",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",56
"Aberrant origin right subclavian artery,","09.30.02","747.6",,"Q27.8",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",57
"Aberrant origin left subclavian artery,","09.30.04","747.6",,"Q27.8",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",58
"Vascular ring,","09.31.00","747.2",,"Q25.4",,"Vascular ring","Abnormalities of ventriculo-arterial valves and great arteries",59
"Double aortic arch,","09.28.09","747.2",,"Q25.4",,"Vascular ring","Abnormalities of ventriculo-arterial valves and great arteries",60
"Pulmonary arterial sling,","09.09.06","747.3",,"Q25.7",,"Pulmonary artery sling","Abnormalities of ventriculo-arterial valves and great arteries",61
"Descending aorta dilation,","09.28.16","747.2",,"Q25.4",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",62
"Descending-abdominal aorta hypoplasia (middle aortic syndrome),","09.29.16","747.2",,"Q25.4",,"Cardiac, Other","Abnormalities of ventriculo-arterial valves and great arteries",63
"Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",,,,,,,"Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",1
"Coronary arterial abnormality,","09.46.00","746.8",,"Q24.5",,"Coronary artery anomaly","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",2
"Anomalous origin of coronary artery from pulmonary artery,","09.41.01","746.8",,"Q24.5",,"Coronary artery anomaly, Anomalous pulmonary origin (includes ALCAPA)","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",3
"Coronary fistula,","09.45.01","746.8",,"Q24.5",,"Coronary artery anomaly, Fistula","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",4
"Coronary artery: anomalous aortic origin or course,","09.42.00","746.8",,"Q24.5",,"(AAOCA)","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",5
"Aberrant course of coronary artery: across right ventricular outflow tract,","09.43.18","746.8",,"Q24.5",,"(AAOCA)","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",6
"Intramural proximal coronary arterial course,","09.43.05","746.8",,"Q24.5",,"(AAOCA)","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",7
"Coronary arterial aneurysm(s),","09.46.01","746.8",,"Q24.5",,"Coronary artery anomaly, Aneurysm","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",8
"Arterial duct (ductus arteriosus) abnormality,","09.27.00","747.8",,"Q25.8",,"Cardiac, Other","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",9
"Patent arterial duct (PDA),","09.27.21","747.0",,"Q25.0",,"Patent ductus arteriosus","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",10
"Arteriovenous fistula (malformation),","09.19.01","747.6",,"Q27.3",,"Peripheral vasculature, Other","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",11
"Pulmonary arteriovenous fistula (malformation),","09.19.05","747.3",,"Q25.7",,"Pulmonary AV fistula","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",12
"Distal systemic arterial abnormality,","09.20.20","747.9",,"Q27.8",,"Peripheral vasculature, Other","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",13
"Pericardial abnormality,","10.01.00","746.8",,"Q24.8",,"Pericardial disease, Other","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",14
"Cardiac abnormality,","01.01.39","746.8",,"Q24.8",,"Cardiac, Other","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",15
"Vascular abnormality,","01.01.60","459.9",,"I99",,"Peripheral vasculature, Other","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",16
"Aneurysm,","01.01.61","442.9",,"I72.9",,"Aneurysm, Other","Abnormalities of coronary arteries, arterial duct and pericardium; arteriovenous fistulae",17
"Diagnostic comorbidities: hereditary, neonatal and non-cardiac codes",,,,,,,"Diagnostic comorbidities: hereditary, neonatal and non-cardiac codes",1
"Multiple congenital malformations,","14.06.01","759.7",,"Q89.7",,"Miscellaneous, Other","Diagnostic comorbidities: hereditary, neonatal and non-cardiac codes",2
"Family history of congenital heart lesion,","10.23.01","V19.5",,"Z82.7",,,"Diagnostic comorbidities: hereditary, neonatal and non-cardiac codes",3
"Family history of disorder with cardiac involvement,","10.23.03","V19.5",,"Z82.7",,,"Diagnostic comorbidities: hereditary, neonatal and non-cardiac codes",4
"Family history of sudden death,","10.23.11","V19.8",,"Z84.8",,,"Diagnostic comorbidities: hereditary, neonatal and non-cardiac codes",5
"Maternal teratogen associated with congenital heart disease,","14.05.01","760.7",,"Q86.8",,,"Diagnostic comorbidities: hereditary, neonatal and non-cardiac codes",6
"Maternal teratogen or disease potentially associated with congenital heart disease,","14.05.00","760.7",,"Q86.8",,,"Diagnostic comorbidities: hereditary, neonatal and non-cardiac codes",7
"Maternal systemic lupus erythematosus (SLE),","10.23.02","655.4",,"P00.8",,,"Diagnostic comorbidities: hereditary, neonatal and non-cardiac codes",8
"Maternally derived fetal disease or syndrome associated with heart disease,","14.05.40","655.4",,"P96.9",,,"Diagnostic comorbidities: hereditary, neonatal and non-cardiac codes",9
"Neonatal disorders or abnormalities",,,,,,,"Neonatal disorders or abnormalities",1
"Neonatal disorder,","10.15.00","779.9",,"P96.9",,"Miscellaneous, Other","Neonatal disorders or abnormalities",2
"Infant of diabetic mother,","10.22.03","775.0",,"P70.1",,,"Neonatal disorders or abnormalities",3
"Heart muscle disease in infant of diabetic mother,","10.07.71","775.0†","425.8*","P70.1<e2><80>","<a0>   I43.8","*   Cardiac, Other","Neonatal disorders or abnormalities",4
"Premature birth,","10.22.02","765.1",,"P07.3",,"Miscellaneous, Other","Neonatal disorders or abnormalities",5
"Premature birth 32-35 weeks,","10.22.05","765.1",,"P07.3",,"Miscellaneous, Other","Neonatal disorders or abnormalities",6
"Premature birth less than 32 weeks,","10.22.06","765.1",,"P07.3",,"Miscellaneous, Other","Neonatal disorders or abnormalities",7
"Meconium aspiration,","10.15.12","770.1",,"P24.0",,"Meconium aspiration","Neonatal disorders or abnormalities",8
"Necrotising enterocolitis,","10.15.05","777.5",,"P77",,"Miscellaneous, Other","Neonatal disorders or abnormalities",9
"Transient myocardial ischaemia,","10.15.10","779.8",,"P29.4",,"Cardiac, Other","Neonatal disorders or abnormalities",10
"Persistent pulmonary hypertension of the newborn (PFC),","10.15.01","747.9",,"P29.3",,"Persistent fetal circulation","Neonatal disorders or abnormalities",11
"Chromosomal anomalies and other syndromes",,,,,,,"Chromosomal anomalies and other syndromes",1
"Chromosomal anomaly,","14.01.01","758.9",,"Q99.9",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",2
"Trisomy 21: Down’s syndrome,","14.01.02","758.0",,"Q90.9",,"Down Syndrome","Chromosomal anomalies and other syndromes",3
"45XO: Turner’s syndrome,","14.01.05","758.6",,"Q96",,"Turner Syndrome","Chromosomal anomalies and other syndromes",4
"22q11 microdeletion,","14.01.21","758.3",,"Q93.8",,"22q11 deletion","Chromosomal anomalies and other syndromes",5
"22q11 microdeletion with full DiGeorge sequence (including immune dysfunction),","14.02.06","279.1",,"D82.1",,"DiGeorge","Chromosomal anomalies and other syndromes",6
"Trisomy 18: Edwards' syndrome,","14.01.03","758.2",,"Q91.3",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",7
"Trisomy 13: Patau's syndrome,","14.01.04","758.1",,"Q91.7",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",8
"Hereditary disorder associated with heart disease,","10.23.04","759.7",,"Q87.8",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",9
"Pompe’s disease: glycogen storage disease type IIa,","14.02.21","271.0",,"E74.0",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",10
"Friedreich’s ataxia,","14.02.10","334.0",,"G11.1",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",11
"Muscular dystrophy,","14.02.58","359.1",,"G71.0",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",12
"Duchenne’s muscular dystrophy,","14.02.34","359.1",,"G71.0",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",13
"Marfan syndrome,","14.02.17","759.8",,"Q87.4",,"Marfan syndrome","Chromosomal anomalies and other syndromes",14
"Noonan syndrome,","14.02.19","759.8",,"Q87.1",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",15
"Tuberous sclerosis,","14.02.28","759.5",,"Q85.1",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",16
"Williams syndrome (infantile hypercalcaemia),","14.02.30","275.4",,"Q93.8",,"Williams Beuren syndrome","Chromosomal anomalies and other syndromes",17
"Alagille syndrome: arteriohepatic dysplasia,","14.02.66","751.6","747.2","Q44.7",,"Alagille syndrome (intrahepatic biliary duct agenesis)","Chromosomal anomalies and other syndromes",18
"Fetal rubella syndrome,","14.02.32","771.0",,"P35.0",,"Rubella","Chromosomal anomalies and other syndromes",19
"Syndrome-association with cardiac involvement,","14.02.00","759.9",,"Q87.8",,"Other chromosomal/syndromic abnormality","Chromosomal anomalies and other syndromes",20
"Dyslipidaemia,","10.19.01","272.4",,"E78.9",,"Miscellaneous, Other","Chromosomal anomalies and other syndromes",21
"Non-cardiac anomalies and diseases associated with heart anomalies",,,,,,,"Non-cardiac anomalies and diseases associated with heart anomalies",1
"Hereditary-non-cardiac abnormality not apparent,","10.23.00","nc",,"nc",,"None","Non-cardiac anomalies and diseases associated with heart anomalies",2
"Non-cardiac abnormality associated with heart disease,","14.03.00","759.9",,"Q89.9",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",3
"Spleen absent (asplenia),","03.07.03","759.0",,"Q20.6",,"Asplenia","Non-cardiac anomalies and diseases associated with heart anomalies",4
"Multiple spleens (polysplenia),","03.07.04","759.0",,"Q20.6",,"Polysplenia","Non-cardiac anomalies and diseases associated with heart anomalies",5
"Cystic fibrosis,","14.03.06","277.0",,"E84.9",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",6
"Tracheo-oesophageal fistula,","14.03.08","750.3",,"Q39.2",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",7
"Congenital diaphragmatic hernia,","14.03.07","756.6",,"Q79.0",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",8
"Omphalocoele,","14.03.10","553.1",,"Q79.2",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",9
"Duodenal stenosis/atresia,","14.03.11","751.1",,"Q41.0",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",10
"Gastro-oesophageal reflux disease (GORD),","14.03.09","530.1",,"Q40.8",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",11
"Intestines malrotated,","03.06.03","751.4",,"Q43.3",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",12
"Renal failure,","15.82.10","586",,"N19",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",13
"Renal abnormality,","14.03.23","753.9",,"Q64.9",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",14
"Cerebral anomaly,","14.03.91","742.9",,"Q04.9",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",15
"Anoxic-ischaemic encephalopathy,","14.03.72","348.1",,"G93.1",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",16
"Microcephaly,","14.03.33","742.1",,"Q02",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",17
"Psychomotor developmental delay,","14.03.05","315.5",,"F79",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",18
"Transient ischaemic attack: less than 24 hours (TIA),","14.03.44","435",,"G45.9",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",19
"Reversible ischaemic neurologic deficit: 24-72 hours (RIND),","14.03.97","435",,"G45.8",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",20
"Cerebrovascular accident (stroke),","14.03.42","436",,"I64",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",21
"Migraine,","14.04.46","346.9",,"G43.9",,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies",22
