"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","icd10am_code_additional","sts_name","icd9_code","icd9_additional"
"Abnormalities of ventricles and ventricular septum","Intact ventricular septum,","07.21.00","nc",,,,,,,"nc",
"Abnormalities of ventricles and ventricular septum","Ventricular septal defect (VSD),","07.10.00","Q21.0","Ventricular septal defect",,"Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD","745.4",
"Abnormalities of ventricles and ventricular septum","Single ventricular septal defect (VSD),","07.15.05","Q21.0","Ventricular septal defect",,"Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD","745.4",
"Abnormalities of ventricles and ventricular septum","Multiple ventricular septal defect (VSD)s,","07.15.04","Q21.0","Ventricular septal defect",,"Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD, Multiple","745.4",
"Abnormalities of ventricles and ventricular septum","Perimembranous ventricular septal defect (VSD),","07.10.01","Q21.0","Ventricular septal defect",,"Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD, Type 2 (Perimembranous) (Paramembranous) (Conoventricular)","745.4",
"Abnormalities of ventricles and ventricular septum","Ventricular septal defect (VSD) + malaligned outlet septum,","07.10.12","Q21.0","Ventricular septal defect",,"Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD","745.4",
"Abnormalities of ventricles and ventricular septum","Inlet ventricular septal defect (VSD),","07.14.05","Q21.0","Ventricular septal defect",,"Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD, Type 3 (Inlet), AV Canal type)","745.4",
"Abnormalities of ventricles and ventricular septum","Muscular ventricular septal defect (VSD),","07.11.01","Q21.0","Ventricular septal defect",,"Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD, Type 4 (Muscular)","745.4",
"Abnormalities of ventricles and ventricular septum","Subarterial ventricular septal defect (VSD),","07.12.00","Q21.0","Ventricular septal defect",,"Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD, Type 1 (Subarterial) (Supracristal) (Conal septal defect) (Infundibular)","745.4",
"Abnormalities of ventricles and ventricular septum","Doubly committed subarterial ventricular septal defect (VSD),","07.12.01","Q21.0","Ventricular septal defect",,"Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD, Type 1 (Subarterial) (Supracristal) (Conal septal defect) (Infundibular)","745.4",
"Abnormalities of ventricles and ventricular septum","Communication between left ventricle + right atrium (Gerbode defect),","07.14.02","Q21.0","Ventricular septal defect",,"Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD, Type: Gerbode type (LV-RA communication)","745.4",
"Abnormalities of ventricles and ventricular septum","Spontaneous closure of ventricular septal defect (VSD),","07.16.01","Z87.7","Personal history of congenital malformations, deformations and chromosomal abnormalities",,"Z87.7","Personal history of congenital malformations, deformations and chromosomal abnormalities",,,"V13.6",
"Abnormalities of ventricles and ventricular septum","Ventricular septal abnormality,","07.20.00","Q21.9","Congenital malformation of cardiac septum, unspecified",,"Q21.9","Congenital malformation of cardiac septum, unspecified",,"Cardiac, Other","745.9",
"Abnormalities of ventricles and ventricular septum","Aneurysm of membranous septum,","07.20.01","Q21.9","Congenital malformation of cardiac septum, unspecified",,"Q21.9","Congenital malformation of cardiac septum, unspecified",,"Cardiac, Other","745.9",
"Abnormalities of ventriculo-arterial valves and great arteries","Aortopulmonary window,","09.04.01","Q21.4","Aortopulmonary septal defect",,"Q21.4","Aortopulmonary septal defect",,"AP window (aortopulmonary window)","745.0",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary artery from ascending aorta (hemitruncus),","09.09.08","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.70","Congenital malformation of pulmonary artery, unspecified","Q25.79, Q25.71","Pulmonary artery origin from ascending aorta (hemitruncus)","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Truncal valvar abnormality,","09.02.00","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.9",
"Abnormalities of ventriculo-arterial valves and great arteries","Truncal valvar regurgitation,","09.02.03","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Truncal valve insufficiency","746.9",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary stenosis,","09.05.92","Q22.3","Other congenital malformations of pulmonary valve",,"Q22.30","Congenital malformation of pulmonary valve, unspecified","Q22.39, Q22.31","Pulmonary stenosis","746.0",
"Abnormalities of ventriculo-arterial valves and great arteries","Subpulmonary stenosis,","07.05.30","Q24.3","Pulmonary infundibular stenosis",,"Q24.3","Pulmonary infundibular stenosis",,"Pulmonary stenosis, Subvalvar","746.8",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary valvar abnormality,","09.05.00","Q22.3","Other congenital malformations of pulmonary valve",,"Q22.30","Congenital malformation of pulmonary valve, unspecified","Q22.39, Q22.31","Pulmonary valve, Other","746.0",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary valvar stenosis,","09.05.01","Q22.1","Congenital pulmonary valve stenosis",,"Q22.1","Congenital pulmonary valve stenosis",,"Pulmonary stenosis, Valvar","746.0",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary valvar stenosis: congenital,","09.05.04","Q22.1","Congenital pulmonary valve stenosis",,"Q22.1","Congenital pulmonary valve stenosis",,"Pulmonary stenosis, Valvar","746.0",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary regurgitation,","09.05.91","Q22.2","Congenital pulmonary valve insufficiency",,"Q22.2","Congenital pulmonary valve insufficiency",,"Pulmonary insufficiency","746.0",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary regurgitation: congenital,","09.05.22","Q22.2","Congenital pulmonary valve insufficiency",,"Q22.2","Congenital pulmonary valve insufficiency",,"Pulmonary insufficiency","746.0",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary atresia,","09.05.11","Q22.0","Pulmonary valve atresia",,"Q22.0","Pulmonary valve atresia",,"Pulmonary atresia","746.0",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary atresia: imperforate valve,","09.05.12","Q22.0","Pulmonary valve atresia",,"Q22.0","Pulmonary valve atresia",,"Pulmonary atresia","746.0",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary atresia + intact ventricular septum,","01.01.07","Q22.0","Pulmonary valve atresia",,"Q22.0","Pulmonary valve atresia",,"Pulmonary atresia, IVS","746.0",
"Abnormalities of ventriculo-arterial valves and great arteries","Coronary fistulas from RV ('sinusoidal'),","09.45.11","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.9",
"Abnormalities of ventriculo-arterial valves and great arteries","Right ventricle dependent coronary circulation,","09.46.06","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.9",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary trunk (MPA) abnormality,","09.07.00","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.70","Congenital malformation of pulmonary artery, unspecified","Q25.79, Q25.71","Cardiac, Other","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Supravalvar pulmonary trunk stenosis,","09.07.13","Q25.6","Stenosis of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery",,"Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary trunk hypoplasia,","09.07.11","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.70","Congenital malformation of pulmonary artery, unspecified","Q25.79, Q25.71","Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary arterial abnormality,","09.10.00","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.70","Congenital malformation of pulmonary artery, unspecified","Q25.79, Q25.71","Cardiac, Other","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary arterial stenosis,","09.10.01","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.70","Congenital malformation of pulmonary artery, unspecified","Q25.79, Q25.71","Pulmonary artery stenosis","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Central pulmonary arterial stenosis: proximal to hilar bifurcation,","09.10.07","Q25.6","Stenosis of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery",,"Pulmonary artery stenosis, Branch, Central (within the hilar bifurcation)","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Peripheral pulmonary arterial stenoses: at-beyond hilar bifurcation,","09.10.06","Q25.6","Stenosis of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery",,"Pulmonary artery stenosis, Branch, Peripheral (at or beyond the hilar bifurcation)","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Right pulmonary arterial stenosis,","09.10.25","Q25.6","Stenosis of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery",,"Pulmonary artery stenosis","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Left pulmonary arterial stenosis,","09.10.26","Q25.6","Stenosis of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery",,"Pulmonary artery stenosis","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary arterial hypoplasia,","09.10.11","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.70","Congenital malformation of pulmonary artery, unspecified","Q25.79, Q25.71","Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Discontinuous (non-confluent) pulmonary arteries,","09.10.10","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.70","Congenital malformation of pulmonary artery, unspecified","Q25.79, Q25.71","Pulmonary artery, Discontinuous","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary arterial aneurysm,","09.10.44","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.70","Congenital malformation of pulmonary artery, unspecified","Q25.79, Q25.71","Aneurysm, Pulmonary artery","747.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic stenosis,","09.15.92","Q23.0","Congenital stenosis of aortic valve",,"Q23.01","Congenital stenosis of aortic valve","Q23.02","Aortic stenosis,","746.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Subaortic stenosis,","07.09.00","Q24.4","Congenital subaortic stenosis",,"Q24.4","Congenital subaortic stenosis",,"Aortic stenosis, Subvalvar","746.8",
"Abnormalities of ventriculo-arterial valves and great arteries","Subaortic stenosis due to fibromuscular shelf,","07.09.03","Q24.4","Congenital subaortic stenosis",,"Q24.4","Congenital subaortic stenosis",,"Aortic stenosis, Subvalvar","746.8",
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic valvar abnormality,","09.15.00","Q23.9","Congenital malformation of aortic and mitral valves, unspecified",,"Q23.9","Congenital malformation of aortic and mitral valves, unspecified",,"Aortic valve, Other","746.9",
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic valvar stenosis,","09.15.13","Q23.0","Congenital stenosis of aortic valve",,"Q23.01","Congenital stenosis of aortic valve","Q23.02","Aortic stenosis, Valvar","746.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic valvar stenosis: congenital,","09.15.01","Q23.0","Congenital stenosis of aortic valve",,"Q23.01","Congenital stenosis of aortic valve","Q23.02","Aortic stenosis, Valvar","746.3",
"Abnormalities of ventriculo-arterial valves and great arteries","Eccentric opening of tricuspid aortic valve,","09.15.12","Q23.8","Other congenital malformations of aortic and mitral valves",,"Q23.89","Other specified congenital malformations of aortic and mitral valves","Q23.81, Q23.82, Q23.83","Aortic valve, Other","746.9",
