"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","sts_name","icd9_code","icd9_additional","icd10am_seq","icd10_seq"
"Abnormalities of ventricles and ventricular septum","Doubly committed subarterial ventricular septal defect (VSD),","07.12.01","Q21.0","Ventricular septal defect",,"Q21.09","Other specified ventricular septal defect","VSD, Type 1 (Subarterial) (Supracristal) (Conal septal defect) (Infundibular)","745.4",,5,9
"Abnormalities of ventricles and ventricular septum","Communication between left ventricle + right atrium (Gerbode defect),","07.14.02","Q21.0","Ventricular septal defect",,"Q21.04","Gerbode defect","VSD, Type: Gerbode type (LV-RA communication)","745.4",,1,10
"Abnormalities of ventricles and ventricular septum","Spontaneous closure of ventricular septal defect (VSD),","07.16.01","Z87.7","Personal history of congenital malformations, deformations and chromosomal abnormalities",,"Z87.7","Personal history of congenital malformations, deformations and chromosomal abnormalities",,"V13.6",,1,1
"Abnormalities of ventricles and ventricular septum","Ventricular septal abnormality,","07.20.00","Q21.9","Congenital malformation of cardiac septum, unspecified",,"Q21.9","Congenital malformation of cardiac septum, unspecified","Cardiac, Other","745.9",,2,2
"Abnormalities of ventricles and ventricular septum","Aneurysm of membranous septum,","07.20.01","Q21.9","Congenital malformation of cardiac septum, unspecified",,"Q21.9","Congenital malformation of cardiac septum, unspecified","Cardiac, Other","745.9",,3,3
"Abnormalities of ventriculo-arterial valves and great arteries","Aortopulmonary window,","09.04.01","Q21.4","Aortopulmonary septal defect",,"Q21.4","Aortopulmonary septal defect","AP window (aortopulmonary window)","745",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary artery from ascending aorta (hemitruncus),","09.09.08","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.70","Congenital malformation of pulmonary artery, unspecified","Pulmonary artery origin from ascending aorta (hemitruncus)","747.3",,1,2
"Abnormalities of ventriculo-arterial valves and great arteries","Truncal valvar abnormality,","09.02.00","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Cardiac, Other","746.9",,8,11
"Abnormalities of ventriculo-arterial valves and great arteries","Truncal valvar regurgitation,","09.02.03","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Truncal valve insufficiency","746.9",,9,12
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary stenosis,","09.05.92","Q22.3","Other congenital malformations of pulmonary valve",,"I37.0","Pulmonary valve stenosis","Pulmonary stenosis","746",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Subpulmonary stenosis,","07.05.30","Q24.3","Pulmonary infundibular stenosis",,"Q24.3","Pulmonary infundibular stenosis","Pulmonary stenosis, Subvalvar","746.8",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary valvar abnormality,","09.05.00","Q22.3","Other congenital malformations of pulmonary valve",,"Q22.30","Congenital malformation of pulmonary valve, unspecified","Pulmonary valve, Other","746",,1,2
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary valvar stenosis,","09.05.01","Q22.1","Congenital pulmonary valve stenosis",,"Q22.1","Congenital pulmonary valve stenosis","Pulmonary stenosis, Valvar","746",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary valvar stenosis: congenital,","09.05.04","Q22.1","Congenital pulmonary valve stenosis",,"Q22.1","Congenital pulmonary valve stenosis","Pulmonary stenosis, Valvar","746",,2,2
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary regurgitation,","09.05.91","Q22.2","Congenital pulmonary valve insufficiency",,"Q22.2","Congenital pulmonary valve insufficiency","Pulmonary insufficiency","746",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary regurgitation: congenital,","09.05.22","Q22.2","Congenital pulmonary valve insufficiency",,"Q22.2","Congenital pulmonary valve insufficiency","Pulmonary insufficiency","746",,2,2
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary atresia,","09.05.11","Q22.0","Pulmonary valve atresia",,"Q22.0","Pulmonary valve atresia","Pulmonary atresia","746",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary atresia: imperforate valve,","09.05.12","Q22.0","Pulmonary valve atresia",,"Q22.0","Pulmonary valve atresia","Pulmonary atresia","746",,2,2
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary atresia + intact ventricular septum,","01.01.07","Q22.0","Pulmonary valve atresia",,"Q22.0","Pulmonary valve atresia","Pulmonary atresia, IVS","746",,3,3
"Abnormalities of ventriculo-arterial valves and great arteries","Coronary fistulas from RV ('sinusoidal'),","09.45.11","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Cardiac, Other","746.9",,10,13
"Abnormalities of ventriculo-arterial valves and great arteries","Right ventricle dependent coronary circulation,","09.46.06","Q24.8","Other specified congenital malformations of heart",,"Q24.89","Other specified congenital malformations of heart","Cardiac, Other","746.9",,11,14
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary trunk (MPA) abnormality,","09.07.00","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.79","Other specified congenital malformations of pulmonary artery",,"747.3",,1,3
"Abnormalities of ventriculo-arterial valves and great arteries","Supravalvar pulmonary trunk stenosis,","09.07.13","Q25.6","Stenosis of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery","Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","747.3",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary trunk hypoplasia,","09.07.11","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.79","Other specified congenital malformations of pulmonary artery","Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","747.3",,2,4
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary arterial abnormality,","09.10.00","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.79","Other specified congenital malformations of pulmonary artery","Cardiac, Other","747.3",,3,5
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary arterial stenosis,","09.10.01","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery","Pulmonary artery stenosis","747.3",,2,6
"Abnormalities of ventriculo-arterial valves and great arteries","Central pulmonary arterial stenosis: proximal to hilar bifurcation,","09.10.07","Q25.6","Stenosis of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery","Pulmonary artery stenosis, Branch, Central (within the hilar bifurcation)","747.3",,3,2
"Abnormalities of ventriculo-arterial valves and great arteries","Peripheral pulmonary arterial stenoses: at-beyond hilar bifurcation,","09.10.06","Q25.6","Stenosis of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery","Pulmonary artery stenosis, Branch, Peripheral (at or beyond the hilar bifurcation)","747.3",,4,3
"Abnormalities of ventriculo-arterial valves and great arteries","Right pulmonary arterial stenosis,","09.10.25","Q25.6","Stenosis of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery","Pulmonary artery stenosis","747.3",,5,4
"Abnormalities of ventriculo-arterial valves and great arteries","Left pulmonary arterial stenosis,","09.10.26","Q25.6","Stenosis of pulmonary artery",,"Q25.6","Stenosis of pulmonary artery","Pulmonary artery stenosis","747.3",,6,5
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary arterial hypoplasia,","09.10.11","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.79","Other specified congenital malformations of pulmonary artery","Pulmonary artery stenosis (Hypoplasia), Main (Trunk)","747.3",,4,7
"Abnormalities of ventriculo-arterial valves and great arteries","Discontinuous (non-confluent) pulmonary arteries,","09.10.10","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.79","Other specified congenital malformations of pulmonary artery","Pulmonary artery, Discontinuous","747.3",,5,8
"Abnormalities of ventriculo-arterial valves and great arteries","Pulmonary arterial aneurysm,","09.10.44","Q25.7","Other congenital malformations of pulmonary artery",,"Q25.71","Congenital aneurysm of pulmonary artery","Aneurysm, Pulmonary artery","747.3",,1,9
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic stenosis,","09.15.92","Q23.0","Congenital stenosis of aortic valve",,"Q25.30","Stenosis of aorta, unspecified","Aortic stenosis,","746.3",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Subaortic stenosis,","07.09.00","Q24.4","Congenital subaortic stenosis",,"Q24.4","Congenital subaortic stenosis","Aortic stenosis, Subvalvar","746.8",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Subaortic stenosis due to fibromuscular shelf,","07.09.03","Q24.4","Congenital subaortic stenosis",,"Q24.4","Congenital subaortic stenosis","Aortic stenosis, Subvalvar","746.8",,2,2
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic valvar abnormality,","09.15.00","Q23.9","Congenital malformation of aortic and mitral valves, unspecified",,"Q23.9","Congenital malformation of aortic and mitral valves, unspecified","Aortic valve, Other","746.9",,2,2
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic valvar stenosis,","09.15.13","Q23.0","Congenital stenosis of aortic valve",,"I35.0","Aortic (valve) stenosis","Aortic stenosis, Valvar","746.3",,1,2
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic valvar stenosis: congenital,","09.15.01","Q23.0","Congenital stenosis of aortic valve",,"Q23.01","Congenital stenosis of aortic valve","Aortic stenosis, Valvar","746.3",,1,3
"Abnormalities of ventriculo-arterial valves and great arteries","Eccentric opening of tricuspid aortic valve,","09.15.12","Q23.8","Other congenital malformations of aortic and mitral valves",,"Q23.89","Other specified congenital malformations of aortic and mitral valves","Aortic valve, Other","746.9",,6,6
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic regurgitation,","09.15.91","Q23.1","Congenital insufficiency of aortic valve",,"Q23.1","Congenital insufficiency of aortic valve","Aortic insufficiency","746.4",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic regurgitation: congenital,","09.15.07","Q23.1","Congenital insufficiency of aortic valve",,"Q23.1","Congenital insufficiency of aortic valve","Aortic insufficiency","746.4",,2,2
"Abnormalities of ventriculo-arterial valves and great arteries","Bicuspid aortic valve,","09.15.22","Q23.1","Congenital insufficiency of aortic valve",,"Q23.1","Congenital insufficiency of aortic valve","Aortic valve, Other","746.4",,3,3
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic atresia,","09.15.03","Q23.0","Congenital stenosis of aortic valve",,"Q23.02","Congenital atresia of aortic valve","Aortic valve atresia","746.7",,1,4
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic valvar prolapse,","09.15.30","Q23.8","Other congenital malformations of aortic and mitral valves",,"Q23.89","Other specified congenital malformations of aortic and mitral valves","Aortic valve, Other","746.9",,7,7
"Abnormalities of ventriculo-arterial valves and great arteries","Aortic abnormality,","07.09.31","Q25.4","Other congenital malformations of aorta",,"Q25.40","Congenital malformation of aorta, unspecified","Cardiac, Other","747.2",,1,1
"Abnormalities of ventriculo-arterial valves and great arteries","Ascending aorta abnormality,","09.16.10","Q25.3","Stenosis of aorta",,"Q25.40","Congenital malformation of aorta, unspecified","Cardiac, Other","747.2",,2,1
"Abnormalities of ventriculo-arterial valves and great arteries","Ascending aorta hypoplasia,","09.16.02","Q25.4","Other congenital malformations of aorta",,"Q25.44","Hypoplasia of aorta","Cardiac, Other","747.2",,1,2
"Abnormalities of ventriculo-arterial valves and great arteries","Supravalvar aortic stenosis,","09.16.00","Q25.3","Stenosis of aorta",,"Q25.31","Supravalvular aortic stenosis","Aortic stenosis, Supravalvar","747.2",,1,2
"Abnormalities of ventriculo-arterial valves and great arteries","Ascending aorta dilation,","09.16.09","Q25.4","Other congenital malformations of aorta",,"Q25.49","Other specified congenital malformations of aorta","Cardiac, Other","747.2",,1,3
